,job_id,load_info_staleness,placement_info_staleness,req_inter_arrival_delay,workflow_type,scheduler_type,slowdown,response_time,num_activation_dags
53,53,0,20000,20,0,centralheft,7.13719995090303,130.61075910152545,910
56,56,0,20000,20,0,centralheft,7.641391675402201,139.8374676598603,910
55,55,0,20000,20,2,centralheft,65.49827006508009,753.230105748421,910
57,57,0,20000,20,0,centralheft,7.094832177899481,129.8354288555605,910
45,45,0,20000,20,3,centralheft,35.42003272317762,1597.4434758153106,910
58,58,0,20000,20,2,centralheft,65.49827006508009,753.230105748421,910
54,54,0,20000,20,1,centralheft,122.61244555839116,3678.373366751735,910
62,62,0,20000,20,1,centralheft,122.5742276068905,3677.2268282067153,910
61,61,0,20000,20,2,centralheft,65.49827006508009,753.230105748421,910
64,64,0,20000,20,2,centralheft,65.49827006508009,753.230105748421,910
63,63,0,20000,20,1,centralheft,122.9275963483785,3687.827890451355,910
65,65,0,20000,20,2,centralheft,67.24045794721323,773.2652663929521,910
60,60,0,20000,20,3,centralheft,33.62104699332191,1516.3092193988184,910
67,67,0,20000,20,2,centralheft,65.66691684996637,755.1695437746133,910
68,68,0,20000,20,3,centralheft,33.432290330813,1507.7962939196661,910
59,59,0,20000,20,0,centralheft,3.959762780218644,72.46365887800118,910
69,69,0,20000,20,2,centralheft,65.87011796911197,757.5063566447877,910
72,72,0,20000,20,2,centralheft,65.49827006508008,753.2301057484209,910
73,73,0,20000,20,2,centralheft,65.49827006508009,753.230105748421,910
70,70,0,20000,20,3,centralheft,37.51251078551159,1691.8142364265727,910
66,66,0,20000,20,1,centralheft,119.5798829875444,3587.396489626332,910
75,75,0,20000,20,3,centralheft,37.29909706638894,1682.189277694141,910
71,71,0,20000,20,0,centralheft,3.404196060691644,62.29678791065709,910
78,78,0,20000,20,0,centralheft,4.331222848806129,79.26137813315216,910
79,79,0,20000,20,0,centralheft,4.49478524036528,82.25456989868462,910
80,80,0,20000,20,0,centralheft,5.003636875552819,91.56655482261658,910
74,74,0,20000,20,2,centralheft,65.49827006508008,753.2301057484209,910
82,82,0,20000,20,2,centralheft,65.49827006508009,753.230105748421,910
76,76,0,20000,20,1,centralheft,98.9917300674937,2969.751902024811,910
84,84,0,20000,20,1,centralheft,101.00671825168119,3030.201547550436,910
81,81,0,20000,20,0,centralheft,3.755191351753126,68.72000173708221,910
77,77,0,20000,20,3,centralheft,32.97739472699411,1487.2805021874344,910
87,87,0,20000,20,3,centralheft,33.101451378180876,1492.8754571559575,910
85,85,0,20000,20,1,centralheft,100.66858483494768,3020.0575450484303,910
89,89,0,20000,20,1,centralheft,100.56302383121402,3016.890714936421,910
88,88,0,20000,20,3,centralheft,36.05803934901132,1626.2175746404105,910
86,86,0,20000,20,0,centralheft,3.897489285912941,71.32405393220682,910
92,92,0,20000,20,0,centralheft,4.296017433769656,78.61711903798471,910
83,83,0,20000,20,2,centralheft,65.49827006508008,753.2301057484209,910
90,90,0,20000,20,1,centralheft,100.00096847405356,3000.029054221607,910
93,93,0,20000,20,0,centralheft,4.194482843412167,76.75903603444266,910
95,95,0,20000,20,1,centralheft,99.66473927276007,2989.9421781828023,910
91,91,0,20000,20,3,centralheft,36.18153883976569,1631.7874016734327,910
94,94,0,20000,20,2,centralheft,65.49827006508009,753.230105748421,910
97,97,0,20000,20,1,centralheft,99.30230012666257,2979.069003799877,910
100,100,0,20000,20,1,centralheft,98.90471385614342,2967.1414156843025,910
99,99,0,20000,20,2,centralheft,65.65991134857995,755.0889805086695,910
102,102,0,20000,20,2,centralheft,65.69214770446274,755.4596986013215,910
96,96,0,20000,20,0,centralheft,3.1528299404730666,57.69678791065712,910
98,98,0,20000,20,3,centralheft,32.99513364109165,1488.0805272132334,910
104,104,0,20000,20,0,centralheft,3.5946632828305325,65.78233807579875,910
106,106,0,20000,20,0,centralheft,3.7996791550959204,69.53412853825535,910
107,107,0,20000,20,0,centralheft,4.159527415051288,76.11935169543858,910
105,105,0,20000,20,3,centralheft,31.79673644277049,1434.0328135689492,910
103,103,0,20000,20,2,centralheft,66.00249683945125,759.0287136536894,910
109,109,0,20000,20,3,centralheft,32.000391537457965,1443.2176583393543,910
