,load_info_staleness,placement_info_staleness,req_inter_arrival_delay,type,slowdown_mean,slowdown_std
0,50.0,0.0,10,centralheft,17.382178823683446,8.559803986094993
1,50.0,0.0,10,centralheft,18.262999879917142,8.840308289067094
2,50.0,0.0,10,centralheft,20.04370828396608,12.755726024332745
3,50.0,0.0,10,centralheft,18.52371369638401,12.502868404201836
4,50.0,0.0,10,centralheft,18.894820659650623,10.341642312859987
5,50.0,0.0,10,centralheft,18.444269031187506,9.850088716354838
6,50.0,0.0,10,centralheft,17.932649185646433,8.252684108896705
7,50.0,0.0,10,centralheft,17.600880677744538,8.340767286429275
8,50.0,0.0,10,centralheft,18.31064280873593,9.614213737710681
9,50.0,0.0,10,centralheft,18.191424720785463,9.593731531205492
10,50.0,0.0,10,centralheft,18.87733561756477,10.21887067098866
11,50.0,0.0,10,centralheft,17.06534980545446,7.2384302084361085
12,50.0,0.0,10,centralheft,17.958136779661576,8.454108599215292
13,50.0,0.0,10,centralheft,18.566948052517816,9.079929684037547
14,50.0,0.0,10,centralheft,17.350142333470526,8.065108154502164
15,50.0,0.0,10,centralheft,17.513613727213713,7.425106007130064
16,50.0,0.0,10,centralheft,18.89410837565455,10.047671104875038
17,50.0,0.0,10,centralheft,19.13799949618454,11.216667630405473
18,50.0,0.0,10,centralheft,18.372018942812044,9.118881008156645
19,50.0,0.0,10,centralheft,17.53154226779093,8.441497200749241
20,50.0,0.0,10,centralheft,18.191794915456672,8.661808022786207
21,50.0,0.0,10,centralheft,18.951548542721028,10.513675898639885
22,50.0,0.0,10,centralheft,18.33317762486005,8.977761202113728
23,50.0,0.0,10,centralheft,19.77984639132991,11.481794010882137
24,50.0,0.0,10,centralheft,17.86919752553506,8.774517207648682
25,50.0,0.0,10,centralheft,18.683575893033172,10.383216101895638
26,50.0,0.0,10,centralheft,17.517123608658324,8.500205698046669
27,50.0,0.0,10,centralheft,18.580098849116872,9.471149501310515
28,50.0,0.0,10,centralheft,17.30658665643996,7.552297321444927
29,50.0,0.0,10,centralheft,18.412636007753513,8.462360790307583
