,load_info_staleness,placement_info_staleness,req_inter_arrival_delay,type,slowdown_mean,slowdown_std
0,0.0,200.0,10,centralheft,80.90103849967915,108.93556477511265
1,0.0,200.0,10,centralheft,86.94259318236541,123.39329241728339
2,0.0,200.0,10,centralheft,87.8002782651223,124.33977842734197
3,0.0,200.0,10,centralheft,89.93107207704269,136.76803835731934
4,0.0,200.0,10,centralheft,92.02530401777872,143.03718474142232
5,0.0,200.0,10,centralheft,78.50213161986875,86.24507139216273
6,0.0,200.0,10,centralheft,85.98047747700464,123.3975613184521
7,0.0,200.0,10,centralheft,85.61221989724972,114.72009895748018
8,0.0,200.0,10,centralheft,93.33785472673075,148.1941183947021
9,0.0,200.0,10,centralheft,74.42995451420109,82.03718329745757
10,0.0,200.0,10,centralheft,84.87844258833614,120.86575330065604
11,0.0,200.0,10,centralheft,86.46946037041035,129.45907069108856
12,0.0,200.0,10,centralheft,83.15611979540485,105.94755848569392
13,0.0,200.0,10,centralheft,90.98254430102519,136.04316472450796
14,0.0,200.0,10,centralheft,75.95802688495166,102.68216952961455
15,0.0,200.0,10,centralheft,79.53838342573883,106.7414939155116
16,0.0,200.0,10,centralheft,77.67137644098746,92.78101136663554
17,0.0,200.0,10,centralheft,90.69372200188012,146.61509319594987
18,0.0,200.0,10,centralheft,84.30790462759654,96.91388364644004
19,0.0,200.0,10,centralheft,85.98855703181549,116.80372707956651
20,0.0,200.0,10,centralheft,88.22067524718352,129.80553227241768
21,0.0,200.0,10,centralheft,79.85935287538508,110.2034305018442
22,0.0,200.0,10,centralheft,83.95283643808199,113.89627694578392
23,0.0,200.0,10,centralheft,80.96383632426392,99.21699502725764
24,0.0,200.0,10,centralheft,84.281496712562,113.24603890520598
25,0.0,200.0,10,centralheft,82.57990723137515,115.45016628450354
26,0.0,200.0,10,centralheft,74.52963764796877,89.32351237423816
27,0.0,200.0,10,centralheft,86.42181921830401,123.58927376485475
28,0.0,200.0,10,centralheft,78.24292249338879,95.49999431383637
29,0.0,200.0,10,centralheft,83.58866585158528,104.67179554120257
