,load_info_staleness,placement_info_staleness,req_inter_arrival_delay,type,slowdown_mean,slowdown_std
0,0.0,300.0,10,centralheft,14.165559463899399,5.418057739728243
1,0.0,300.0,10,centralheft,14.274567318271679,5.362655861700036
2,0.0,300.0,10,centralheft,14.187561223640179,5.701823300924071
3,0.0,300.0,10,centralheft,14.360607117855517,6.773943471246411
4,0.0,300.0,10,centralheft,14.473127209043927,6.182622621709634
5,0.0,300.0,10,centralheft,14.124106175868798,4.313887594734715
6,0.0,300.0,10,centralheft,14.080884432920156,5.042541489678761
7,0.0,300.0,10,centralheft,14.412305688184988,6.001484328657247
8,0.0,300.0,10,centralheft,14.054660956002662,4.389460235081526
9,0.0,300.0,10,centralheft,13.659041787439675,3.520536121342044
10,0.0,300.0,10,centralheft,14.30878439965442,5.243630154515472
11,0.0,300.0,10,centralheft,13.780994493002378,3.9545000143185725
12,0.0,300.0,10,centralheft,14.162088195111368,5.782091976880971
13,0.0,300.0,10,centralheft,14.210158616093977,4.696836828669369
14,0.0,300.0,10,centralheft,14.023877954194301,5.114458926769222
15,0.0,300.0,10,centralheft,14.003631285131734,4.357508149676923
16,0.0,300.0,10,centralheft,14.208252740725507,4.960114730985413
17,0.0,300.0,10,centralheft,14.0313461016234,5.228988152793823
18,0.0,300.0,10,centralheft,13.908462982587979,4.178715673687267
19,0.0,300.0,10,centralheft,14.012463404881414,4.669842057342795
20,0.0,300.0,10,centralheft,14.373994861978815,5.6437720464709
21,0.0,300.0,10,centralheft,14.79120595621152,5.627673668509221
22,0.0,300.0,10,centralheft,14.059202461810532,4.983334687645096
23,0.0,300.0,10,centralheft,14.18713999917609,5.419965641951996
24,0.0,300.0,10,centralheft,13.943175034273416,4.650515055965808
25,0.0,300.0,10,centralheft,13.915398790584653,4.396136157187282
26,0.0,300.0,10,centralheft,13.915240556804306,4.644434953072893
27,0.0,300.0,10,centralheft,14.209649438898312,4.669468107980995
28,0.0,300.0,10,centralheft,14.057181786191661,3.72915127200648
29,0.0,300.0,10,centralheft,14.124987390537248,4.782559914039207
