,workflow_type,task_id,time_to_buffer,dependency_wait_time,time_spent_in_queue,model_fetching_time,execution_time
0,0.0,0.0,0.0043814697264679126,0.0,536.4556832346368,0.0,561.0
1,0.0,1.0,1097.4627304489986,0.0,1409.430494400637,78.65325183021196,441.0
2,0.0,2.0,1097.4627304489986,0.0,2863.878104393768,0.0,778.0
3,0.0,3.0,1097.4600647043633,0.0,2446.03754886579,0.0,803.0
4,0.0,4.0,3026.549142424483,1712.7943581629188,1222.154112982752,0.0,1.0
5,0.0,0.0,0.0043814697264679126,0.0,1100.0969791439984,0.0,561.0
6,0.0,1.0,1661.10402635836,0.0,13884.725933058297,0.0,441.0
7,0.0,2.0,1661.10402635836,0.0,22213.966741055356,0.0,778.0
8,0.0,3.0,1661.1013606137249,0.0,1802.6331295755303,0.0,803.0
9,0.0,4.0,4266.734490189256,20386.338942969094,0.0,0.0,1.0
10,2.0,0.0,0.48083533922067545,0.0,0.0,167.13816013920064,283.0
11,2.0,1.0,450.6265175921435,0.0,1307.9720604348101,0.0,26.0
12,2.0,2.0,450.6189954784213,0.0,283.0,265.4547249269656,76.0
13,2.0,3.0,1075.073720405387,709.529618678428,443.47038132157195,0.0,0.1999999999998181
14,0.0,0.0,0.0043814697264679126,0.0,985.6533131247486,0.0,560.9999999999998
15,0.0,1.0,1546.66036033911,0.0,1218.114190607649,78.65325183021196,441.0
16,0.0,2.0,1546.66036033911,0.0,3827.0244334256686,0.0,778.0
17,0.0,3.0,1546.6576945944748,0.0,1341.0878545024952,0.0,803.0
18,0.0,4.0,3284.430468521606,2867.2569909878075,4257.258089587556,0.0,1.0
19,0.0,0.0,0.0043814697264679126,0.0,1051.1354732550835,0.0,561.0
20,0.0,1.0,1612.1425204694451,0.0,13456.318046663666,0.0,441.0
21,0.0,2.0,1612.1425204694451,0.0,21448.558854660725,0.0,778.0
22,0.0,3.0,1612.13985472481,0.0,2688.03754886579,0.0,803.0
23,0.0,4.0,5103.1774035906,18735.526637284205,0.0,0.0,1.0
24,2.0,0.0,0.48083533922067545,0.0,432.98885245938277,0.0,283.0
25,2.0,1.0,716.4772099123256,0.0,1102.9720604348101,0.0,26.0
26,2.0,2.0,716.4696877986034,0.0,624.4547249269656,0.0,76.0
27,2.0,3.0,1416.924412725569,428.52961867842805,365.67038132157177,0.0,0.1999999999998181
28,1.0,0.0,0.0043814697264679126,0.0,0.0,562.3707505860159,559.9999999999998
29,1.0,1.0,1122.3751320557421,0.0,1683.3707505860157,210.39744864581735,27.0
30,0.0,0.0,0.0043814697264679126,0.0,1107.9054906485917,562.3707505860157,561.0
31,0.0,1.0,2231.283288448969,0.0,16267.905792370655,0.0,441.0
32,0.0,2.0,2231.283288448969,0.0,26280.146600367712,0.0,778.0
33,0.0,3.0,2231.280622704334,0.0,797.3974486458173,759.0038801615456,803.0
34,0.0,4.0,4590.681951511697,24698.750603049622,0.0,0.0,1.0
35,0.0,0.0,0.0043814697264679126,0.0,0.0,562.3707505860159,561.0
36,0.0,1.0,1123.3777978003775,0.0,10470.993511617766,0.0,441.0
37,0.0,2.0,1123.3777978003775,0.0,15666.466120382993,0.0,778.0
38,0.0,3.0,1123.3751320557424,0.0,1239.0346026722837,196.6331295755299,803.0
39,0.0,4.0,3362.0428643035557,14205.803719624451,0.0,0.0,1.0
40,3.0,0.0,0.48083533922067545,0.0,1122.7035042217883,0.0,0.599999999999909
41,3.0,1.0,1124.6146566193456,0.0,1484.3026136006015,0.0,178.0
42,3.0,2.0,1124.6146566193456,0.0,1178.5917537764567,0.0,147.0
43,3.0,3.0,2450.2064103958023,337.5411768824815,372.6588231175183,0.0,104.0
44,3.0,0.0,0.4808353392204481,0.0,0.0,0.0,0.599999999999909
45,3.0,1.0,1.9111523975573164,0.0,881.6755743741128,0.0,178.0
46,3.0,2.0,1.9111523975573164,0.0,502.90743826882,0.0,147.0
47,3.0,3.0,651.8185906663773,410.59845316362953,1124.8562717633358,0.0,104.0
48,1.0,0.0,0.0043814697264679126,0.0,533.7050098277068,0.0,560.0
49,1.0,1.0,1093.7093912974333,0.0,1152.3672652637943,0.0,27.0
50,0.0,0.0,0.0043814697264679126,0.0,1166.7177345543241,0.0,561.0
51,0.0,1.0,1727.7247817686857,0.0,5205.22536112253,0.0,440.9999999999991
52,0.0,2.0,1727.7247817686857,0.0,3048.762333458317,0.0,778.0
53,0.0,3.0,1727.7221160240506,0.0,4386.021990190759,0.0,803.0
54,0.0,4.0,5554.489780971638,1819.4630276642129,4534.991297578959,0.0,1.0
55,0.0,0.0,0.0043814697264679126,0.0,0.0,562.3707505860159,561.0
56,0.0,1.0,1123.3777978003775,0.0,10876.897205065332,0.0,441.0
57,0.0,2.0,1123.3777978003775,0.0,16409.36981383056,0.0,778.0
58,0.0,3.0,1123.3751320557424,0.0,1122.0,196.6331295755299,803.0
59,0.0,4.0,3245.008261631272,15065.742015744301,0.0,0.0,1.0
60,1.0,0.0,0.0043814697264679126,0.0,1081.6159607257757,0.0,560.0
61,1.0,1.0,1641.6203421955022,0.0,1179.3672652637943,0.0,27.0
62,0.0,0.0,0.0043814697264679126,0.0,1090.6863690025607,0.0,561.0
