,load_info_staleness,placement_info_staleness,req_inter_arrival_delay,type,slowdown,num_activation_dags
50,0,15,10,centralheft,40.21517677960446,56
51,0,15,10,centralheft,57.659912334583396,56
52,0,15,10,centralheft,43.376935971841306,56
53,0,15,10,centralheft,19.64114466292017,56
54,0,15,10,centralheft,19.334062689916777,56
55,0,15,10,centralheft,18.740019567833315,56
56,0,15,10,centralheft,22.844161766844195,56
57,0,15,10,centralheft,22.54867750622867,56
58,0,15,10,centralheft,21.282523004513394,56
59,0,15,10,centralheft,28.237050091938045,56
60,0,15,10,centralheft,24.10061782825551,56
61,0,15,10,centralheft,33.195340111043095,56
62,0,15,10,centralheft,18.431845091230116,56
63,0,15,10,centralheft,24.429427288768352,56
64,0,15,10,centralheft,20.527742008004225,56
65,0,15,10,centralheft,27.812172526041707,56
66,0,15,10,centralheft,20.190498333275855,56
67,0,15,10,centralheft,23.21217252604174,56
68,0,15,10,centralheft,22.19609452997463,56
69,0,15,10,centralheft,18.43184509123023,56
70,0,15,10,centralheft,20.528154570965057,56
71,0,15,10,centralheft,18.43184509123023,56
72,0,15,10,centralheft,20.248350783534306,56
73,0,15,10,centralheft,18.43184509123023,56
74,0,15,10,centralheft,18.43184509123023,56
75,0,15,10,centralheft,22.01128728516187,56
76,0,15,10,centralheft,23.21217252604174,56
77,0,15,10,centralheft,18.43184509123023,56
78,0,15,10,centralheft,20.003253352280126,56
79,0,15,10,centralheft,23.21217252604174,56
80,0,15,10,centralheft,18.43184509123023,56
81,0,15,10,centralheft,18.43184509123023,56
82,0,15,10,centralheft,21.69219041930137,56
83,0,15,10,centralheft,18.43184509123023,56
84,0,15,10,centralheft,20.364202018231367,56
85,0,15,10,centralheft,27.812172526041763,56
86,0,15,10,centralheft,26.793826773651062,56
87,0,15,10,centralheft,18.43184509123023,56
88,0,15,10,centralheft,21.642396669843606,56
89,0,15,10,centralheft,18.43184509123023,56
90,0,15,10,centralheft,19.631037329522428,56
91,0,15,10,centralheft,18.43184509123023,56
92,0,15,10,centralheft,18.671153381109548,56
93,0,15,10,centralheft,23.21217252604174,56
94,0,15,10,centralheft,18.43184509123023,56
95,0,15,10,centralheft,18.43184509123023,56
96,0,15,10,centralheft,28.2339273239744,56
97,0,15,10,centralheft,35.596374708064445,56
98,0,15,10,centralheft,18.43184509123023,56
99,0,15,10,centralheft,19.840752038685537,56
100,0,15,10,centralheft,18.43184509123023,56
101,0,15,10,centralheft,20.40513112307451,56
102,0,15,10,centralheft,28.858948756131554,56
103,0,15,10,centralheft,21.445457613232975,56
104,0,15,10,centralheft,18.43184509123023,56
105,0,15,10,centralheft,18.43184509123023,56
106,0,15,10,centralheft,19.043583425732777,56
107,0,15,10,centralheft,18.431845091230116,56
108,0,15,10,centralheft,18.431845091230116,56
109,0,15,10,centralheft,27.924709000828898,56
110,0,15,10,centralheft,26.68682813320879,56
111,0,15,10,centralheft,27.234931101776283,56
112,0,15,10,centralheft,18.431845091230116,56
113,0,15,10,centralheft,25.991683296602332,56
114,0,15,10,centralheft,21.29875753490728,56
115,0,15,10,centralheft,23.21217252604174,56
116,0,15,10,centralheft,18.431845091230116,56
117,0,15,10,centralheft,18.431845091230116,56
118,0,15,10,centralheft,20.28642559428681,56
119,0,15,10,centralheft,18.431845091230116,56
120,0,15,10,centralheft,21.326412462486132,56
121,0,15,10,centralheft,18.431845091230116,56
122,0,15,10,centralheft,19.945622266540113,56
123,0,15,10,centralheft,23.21217252604174,56
124,0,15,10,centralheft,18.940299677851726,56
125,0,15,10,centralheft,28.759511265854826,56
126,0,15,10,centralheft,27.469733152778417,56
127,0,15,10,centralheft,21.585156867664182,56
128,0,15,10,centralheft,21.03187784306124,56
129,0,15,10,centralheft,23.21217252604174,56
130,0,15,10,centralheft,32.63499651235111,56
131,0,15,10,centralheft,18.431845091230116,56
132,0,15,10,centralheft,23.213786674294397,56
133,0,15,10,centralheft,24.91382644939722,56
134,0,15,10,centralheft,18.431845091230116,56
135,0,15,10,centralheft,26.460154601110844,56
136,0,15,10,centralheft,18.97221165235578,56
137,0,15,10,centralheft,23.21217252604174,56
138,0,15,10,centralheft,19.262296107174507,56
139,0,15,10,centralheft,18.431845091230116,56
140,0,15,10,centralheft,20.632160552075675,56
141,0,15,10,centralheft,18.431845091230116,56
142,0,15,10,centralheft,18.431845091230116,56
143,0,15,10,centralheft,24.780284474078144,56
144,0,15,10,centralheft,21.23708967714765,56
145,0,15,10,centralheft,23.21217252604174,56
146,0,15,10,centralheft,21.179865992915893,56
147,0,15,10,centralheft,21.015583045194717,56
148,0,15,10,centralheft,23.21217252604174,56
149,0,15,10,centralheft,22.52883800849554,56
150,0,15,10,centralheft,18.56489889564932,56
151,0,15,10,centralheft,27.81217252604165,56
152,0,15,10,centralheft,18.431845091230116,56
153,0,15,10,centralheft,21.050800474816924,56
154,0,15,10,centralheft,23.21217252604174,56
155,0,15,10,centralheft,20.427585138790164,56
156,0,15,10,centralheft,23.21217252604174,56
157,0,15,10,centralheft,23.210665874488313,56
158,0,15,10,centralheft,20.161564348415368,56
159,0,15,10,centralheft,27.03115353027556,56
160,0,15,10,centralheft,26.022616986262165,56
161,0,15,10,centralheft,21.793771776366157,56
162,0,15,10,centralheft,23.21217252604174,56
163,0,15,10,centralheft,19.098495335067355,56
164,0,15,10,centralheft,18.431845091230116,56
165,0,15,10,centralheft,21.245022525509057,56
166,0,15,10,centralheft,23.21217252604174,56
167,0,15,10,centralheft,21.80168746353843,56
168,0,15,10,centralheft,21.82413878982061,56
169,0,15,10,centralheft,23.21217252604174,56
170,0,15,10,centralheft,18.431845091230116,56
171,0,15,10,centralheft,21.56947736224288,56
172,0,15,10,centralheft,18.431845091230116,56
173,0,15,10,centralheft,18.431845091230116,56
174,0,15,10,centralheft,21.656095205077918,56
175,0,15,10,centralheft,18.431845091230116,56
176,0,15,10,centralheft,18.431845091230116,56
177,0,15,10,centralheft,22.286963983592386,56
178,0,15,10,centralheft,23.21217252604174,56
179,0,15,10,centralheft,18.431845091230116,56
180,0,15,10,centralheft,18.431845091230116,56
181,0,15,10,centralheft,25.20830392619564,56
182,0,15,10,centralheft,18.431845091230116,56
183,0,15,10,centralheft,26.919259423560106,56
184,0,15,10,centralheft,22.574789164495996,56
185,0,15,10,centralheft,23.21217252604174,56
186,0,15,10,centralheft,18.431845091230116,56
187,0,15,10,centralheft,22.98732783217679,56
188,0,15,10,centralheft,18.431845091230116,56
189,0,15,10,centralheft,25.70701245364603,56
190,0,15,10,centralheft,18.431845091230116,56
191,0,15,10,centralheft,18.431845091230116,56
192,0,15,10,centralheft,18.754796529417263,56
193,0,15,10,centralheft,18.431845091230116,56
194,0,15,10,centralheft,18.431845091230116,56
195,0,15,10,centralheft,23.04150465144471,56
196,0,15,10,centralheft,18.431845091230116,56
197,0,15,10,centralheft,27.508165096197217,56
198,0,15,10,centralheft,20.102935722542497,56
199,0,15,10,centralheft,23.135846376339714,56
200,0,15,10,centralheft,23.21217252604174,56
